"dep","sexe","jour","hosp","rea","HospConv","SSR_USLD","autres","rad","dc"
"2A","0","2021-06-01","32","5","4","19","4","487","117"
"2A","1","2021-06-01","21","5","3","10","3","237","64"
"2A","2","2021-06-01","11","0","1","9","1","249","53"
"2B","0","2021-06-01","8","1","3","3","1","447","88"
"2B","1","2021-06-01","6","0","3","2","1","245","56"
"2B","2","2021-06-01","2","1","0","1","0","200","32"
"30","0","2021-06-01","132","22","38","70","2","2893","636"
"30","1","2021-06-01","64","15","18","30","1","1500","371"
"30","2","2021-06-01","68","7","20","40","1","1376","265"
"31","0","2021-06-01","171","36","67","65","3","5133","801"
"31","1","2021-06-01","97","27","39","31","0","2691","489"
"31","2","2021-06-01","72","9","28","32","3","2412","307"
"32","0","2021-06-01","5","1","3","1","0","452","98"
"32","1","2021-06-01","4","1","2","1","0","218","55"
"32","2","2021-06-01","1","0","1","0","0","233","43"
"33","0","2021-06-01","263","64","146","48","5","5218","1038"
"33","1","2021-06-01","142","45","70","24","3","2684","580"
"33","2","2021-06-01","119","19","74","24","2","2513","455"
"34","0","2021-06-01","168","43","74","50","1","4563","970"
"34","1","2021-06-01","87","31","34","22","0","2450","569"
"34","2","2021-06-01","81","12","40","28","1","2098","398"
"35","0","2021-06-01","240","26","119","89","6","3425","699"
"35","1","2021-06-01","114","15","61","36","2","1723","386"
"35","2","2021-06-01","126","11","58","53","4","1675","310"
"36","0","2021-06-01","43","6","17","20","0","1005","261"
"36","1","2021-06-01","23","4","10","9","0","503","138"
"36","2","2021-06-01","19","1","7","11","0","491","120"
"37","0","2021-06-01","123","23","36","63","1","2107","489"
"37","1","2021-06-01","74","19","26","28","1","1072","300"
"37","2","2021-06-01","49","4","10","35","0","1031","188"
"38","0","2021-06-01","303","38","113","146","6","7468","1750"
"38","1","2021-06-01","159","28","58","71","2","3640","1009"
"38","2","2021-06-01","144","10","55","75","4","3792","732"
"39","0","2021-06-01","35","2","24","7","2","1950","481"
"39","1","2021-06-01","19","2","12","4","1","886","249"
"39","2","2021-06-01","15","0","11","3","1","1048","229"
"40","0","2021-06-01","31","5","18","8","0","860","238"
"40","1","2021-06-01","19","3","14","2","0","438","124"
"40","2","2021-06-01","12","2","4","6","0","420","111"
"41","0","2021-06-01","63","6","17","40","0","1587","328"
"41","1","2021-06-01","37","4","12","21","0","802","198"
"41","2","2021-06-01","26","2","5","19","0","780","130"
"42","0","2021-06-01","329","50","204","75","0","5611","1337"
"42","1","2021-06-01","179","35","110","34","0","2795","777"
"42","2","2021-06-01","148","15","92","41","0","2775","550"
"43","0","2021-06-01","49","2","29","17","1","1260","253"
"43","1","2021-06-01","21","1","12","8","0","618","142"
"43","2","2021-06-01","28","1","17","9","1","622","109"
"44","0","2021-06-01","127","30","57","39","1","3830","827"
"44","1","2021-06-01","71","22","31","17","1","1915","463"
"44","2","2021-06-01","56","8","26","22","0","1914","364"
"45","0","2021-06-01","187","34","65","82","6","2987","637"
"45","1","2021-06-01","102","25","33","41","3","1513","384"
"45","2","2021-06-01","84","9","32","40","3","1460","250"
"46","0","2021-06-01","8","2","3","3","0","395","99"
"46","1","2021-06-01","6","2","2","2","0","192","60"
"46","2","2021-06-01","2","0","1","1","0","202","39"
"47","0","2021-06-01","28","5","16","7","0","829","181"
"47","1","2021-06-01","18","4","9","5","0","412","109"
"47","2","2021-06-01","10","1","7","2","0","396","68"
"48","0","2021-06-01","6","1","4","1","0","440","118"
"48","1","2021-06-01","1","0","1","0","0","237","70"
"48","2","2021-06-01","5","1","3","1","0","198","48"
"49","0","2021-06-01","102","24","48","30","0","3285","703"
"49","1","2021-06-01","68","20","32","16","0","1602","434"
"49","2","2021-06-01","34","4","16","14","0","1683","269"
"50","0","2021-06-01","129","19","56","54","0","1432","365"
"50","1","2021-06-01","71","15","25","31","0","721","202"
"50","2","2021-06-01","56","4","30","22","0","698","158"
"51","0","2021-06-01","169","25","87","57","0","3495","898"
"51","1","2021-06-01","83","16","43","24","0","1747","501"
"51","2","2021-06-01","79","8","39","32","0","1707","387"
"52","0","2021-06-01","39","3","20","16","0","1337","368"
"52","1","2021-06-01","19","2","13","4","0","639","187"
"52","2","2021-06-01","20","1","7","12","0","687","176"
"53","0","2021-06-01","41","6","22","13","0","1237","272"
"53","1","2021-06-01","22","4","12","6","0","601","151"
"53","2","2021-06-01","19","2","10","7","0","636","121"
"54","0","2021-06-01","196","45","104","45","2","4584","1203"
"54","1","2021-06-01","94","31","44","19","0","2270","690"
"54","2","2021-06-01","101","14","59","26","2","2285","506"
"55","0","2021-06-01","21","5","11","5","0","1382","380"
"55","1","2021-06-01","9","2","7","0","0","680","214"
"55","2","2021-06-01","12","3","4","5","0","699","166"
"56","0","2021-06-01","132","14","56","31","31","1995","421"
"56","1","2021-06-01","68","10","30","11","17","1012","243"
"56","2","2021-06-01","64","4","26","20","14","971","176"
"57","0","2021-06-01","197","40","92","58","7","7450","2391"
"57","1","2021-06-01","100","24","41","33","2","3744","1338"
"57","2","2021-06-01","96","16","50","25","5","3662","1034"
"58","0","2021-06-01","85","5","30","50","0","1034","324"
"58","1","2021-06-01","42","4","16","22","0","485","182"
"58","2","2021-06-01","43","1","14","28","0","533","139"
"59","0","2021-06-01","836","199","403","227","7","16567","3776"
"59","1","2021-06-01","385","118","179","84","4","8247","2068"
"59","2","2021-06-01","445","80","221","141","3","8171","1685"
"60","0","2021-06-01","372","39","154","178","1","4890","1352"
"60","1","2021-06-01","185","27","72","86","0","2432","750"
"60","2","2021-06-01","181","11","81","88","1","2424","590"
"61","0","2021-06-01","67","11","27","29","0","1654","352"
"61","1","2021-06-01","29","8","12","9","0","769","197"
"61","2","2021-06-01","38","3","15","20","0","867","151"
"62","0","2021-06-01","495","76","260","156","3","7989","1922"
"62","1","2021-06-01","235","50","125","58","2","3848","1013"
"62","2","2021-06-01","253","26","129","97","1","4051","889"
"63","0","2021-06-01","142","12","65","55","10","2680","739"
"63","1","2021-06-01","67","5","36","22","4","1260","405"
"63","2","2021-06-01","72","7","29","33","3","1396","330"
"64","0","2021-06-01","91","9","42","40","0","1973","475"
"64","1","2021-06-01","53","7","23","23","0","992","261"
"64","2","2021-06-01","36","2","17","17","0","971","212"
"65","0","2021-06-01","17","7","7","3","0","962","203"
"65","1","2021-06-01","8","3","4","1","0","470","102"
"65","2","2021-06-01","9","4","3","2","0","487","101"
"66","0","2021-06-01","96","15","31","48","2","1339","321"
"66","1","2021-06-01","50","13","17","20","0","705","205"
"66","2","2021-06-01","46","2","14","28","2","633","115"
"67","0","2021-06-01","306","40","190","75","1","7038","1694"
"67","1","2021-06-01","154","30","95","28","1","3624","952"
"67","2","2021-06-01","151","10","94","47","0","3400","735"
"68","0","2021-06-01","133","24","63","45","1","6087","1506"
"68","1","2021-06-01","64","18","28","17","1","3132","859"
"68","2","2021-06-01","69","6","35","28","0","2945","644"
"69","0","2021-06-01","423","112","142","164","5","15026","3129"
"69","1","2021-06-01","236","76","78","80","2","7403","1823"
"69","2","2021-06-01","185","36","63","83","3","7462","1279"
"70","0","2021-06-01","39","9","13","6","11","1264","265"
"70","1","2021-06-01","17","4","7","2","4","628","151"
"70","2","2021-06-01","22","5","6","4","7","634","113"
"71","0","2021-06-01","101","12","48","36","5","4621","1100"
"71","1","2021-06-01","50","10","20","18","2","2119","586"
"71","2","2021-06-01","49","2","27","17","3","2464","506"
"72","0","2021-06-01","129","9","72","47","1","2872","592"
"72","1","2021-06-01","60","8","32","19","1","1351","341"
"72","2","2021-06-01","69","1","40","28","0","1519","251"
"73","0","2021-06-01","75","9","53","12","1","2838","694"
"73","1","2021-06-01","47","6","31","9","1","1412","401"
"73","2","2021-06-01","27","3","21","3","0","1411","291"
"74","0","2021-06-01","122","16","68","38","0","4865","1012"
"74","1","2021-06-01","60","11","33","16","0","2534","602"
"74","2","2021-06-01","60","5","34","21","0","2308","407"
"75","0","2021-06-01","889","245","395","242","7","19900","4455"
"75","1","2021-06-01","495","165","234","92","4","10722","2743"
"75","2","2021-06-01","387","78","158","148","3","9046","1696"
"76","0","2021-06-01","508","75","259","174","0","6244","1510"
"76","1","2021-06-01","244","50","119","75","0","3022","836"
"76","2","2021-06-01","258","24","139","95","0","3181","665"
"77","0","2021-06-01","315","83","118","111","3","8845","2011"
"77","1","2021-06-01","176","50","67","57","2","4583","1147"
"77","2","2021-06-01","139","33","51","54","1","4205","853"
"78","0","2021-06-01","316","62","120","127","7","8212","1809"
"78","1","2021-06-01","169","42","70","52","5","4163","1066"
"78","2","2021-06-01","146","19","50","75","2","4020","741"
"79","0","2021-06-01","22","4","13","5","0","1097","253"
"79","1","2021-06-01","12","2","8","2","0","507","144"
"79","2","2021-06-01","10","2","5","3","0","582","108"
"80","0","2021-06-01","262","44","146","69","3","3031","921"
"80","1","2021-06-01","117","26","67","22","2","1500","522"
"80","2","2021-06-01","141","18","76","46","1","1458","384"
"81","0","2021-06-01","46","11","9","26","0","1378","376"
"81","1","2021-06-01","22","8","6","8","0","695","224"
"81","2","2021-06-01","24","3","3","18","0","678","151"
"82","0","2021-06-01","33","12","8","13","0","879","219"
"82","1","2021-06-01","17","8","5","4","0","462","113"
"82","2","2021-06-01","16","4","3","9","0","403","98"
"83","0","2021-06-01","203","42","54","106","1","5984","1465"
"83","1","2021-06-01","99","30","20","48","1","3019","859"
"83","2","2021-06-01","102","12","34","56","0","2888","592"
"84","0","2021-06-01","162","12","60","88","2","3930","884"
"84","1","2021-06-01","75","7","29","39","0","1921","518"
"84","2","2021-06-01","86","5","31","48","2","1962","352"
"85","0","2021-06-01","54","10","27","17","0","1594","286"
"85","1","2021-06-01","29","8","12","9","0","806","180"
"85","2","2021-06-01","25","2","15","8","0","788","106"
"86","0","2021-06-01","30","2","14","14","0","1315","267"
"86","1","2021-06-01","14","1","6","7","0","687","145"
"86","2","2021-06-01","16","1","8","7","0","616","119"
"87","0","2021-06-01","78","9","35","34","0","1175","324"
"87","1","2021-06-01","41","7","17","17","0","558","186"
"87","2","2021-06-01","37","2","18","17","0","612","137"
"88","0","2021-06-01","94","7","26","61","0","2816","849"
"88","1","2021-06-01","47","5","14","28","0","1333","465"
"88","2","2021-06-01","46","2","11","33","0","1473","382"
"89","0","2021-06-01","136","19","31","86","0","2178","568"
"89","1","2021-06-01","68","13","17","38","0","1069","318"
"89","2","2021-06-01","64","6","14","44","0","1090","245"
"90","0","2021-06-01","74","13","49","12","0","2106","592"
"90","1","2021-06-01","39","9","27","3","0","1044","347"
"90","2","2021-06-01","35","4","22","9","0","1062","245"
"91","0","2021-06-01","522","96","145","276","5","9257","1846"
"91","1","2021-06-01","245","58","69","117","1","4560","999"
"91","2","2021-06-01","271","37","75","156","3","4405","806"
"92","0","2021-06-01","691","124","202","344","21","14333","2691"
"92","1","2021-06-01","341","87","108","141","5","7535","1579"
"92","2","2021-06-01","337","35","93","197","12","6701","1099"
"93","0","2021-06-01","642","96","265","267","14","13091","2434"
"93","1","2021-06-01","318","50","138","122","8","6962","1445"
"93","2","2021-06-01","310","46","115","143","6","5983","965"
"94","0","2021-06-01","403","74","207","116","6","13578","2951"
"94","1","2021-06-01","201","48","100","50","3","6878","1677"
"94","2","2021-06-01","193","25","102","63","3","6590","1249"
"95","0","2021-06-01","403","38","137","220","8","9040","2000"
"95","1","2021-06-01","190","28","75","82","5","4764","1195"
"95","2","2021-06-01","209","10","60","136","3","4201","794"
"01","0","2021-06-02","119","12","55","51","1","2809","618"
"01","1","2021-06-02","60","7","29","24","0","1395","363"
"01","2","2021-06-02","59","5","26","27","1","1390","252"
"02","0","2021-06-02","149","26","79","43","1","4175","1097"
"02","1","2021-06-02","81","18","37","26","0","2009","603"
"02","2","2021-06-02","66","8","41","17","0","2145","486"
"03","0","2021-06-02","42","8","30","4","0","2088","582"
"03","1","2021-06-02","22","4","17","1","0","968","330"
"03","2","2021-06-02","19","4","12","3","0","1099","242"
"04","0","2021-06-02","98","4","29","65","0","1110","249"
"04","1","2021-06-02","44","2","14","28","0","534","149"
"04","2","2021-06-02","54","2","15","37","0","545","93"
"05","0","2021-06-02","22","7","7","7","1","1241","253"
"05","1","2021-06-02","13","3","6","4","0","617","155"
"05","2","2021-06-02","8","4","1","2","1","616","96"
"06","0","2021-06-02","215","31","65","117","2","6465","1520"
"06","1","2021-06-02","103","23","33","46","1","3236","880"
"06","2","2021-06-02","111","8","31","71","1","3140","624"
"07","0","2021-06-02","45","5","34","6","0","2018","495"
"07","1","2021-06-02","34","4","26","4","0","922","292"
"07","2","2021-06-02","11","1","8","2","0","1060","200"
"08","0","2021-06-02","45","7","18","18","2","1145","369"
"08","1","2021-06-02","27","6","12","8","1","583","215"
"08","2","2021-06-02","18","1","6","10","1","551","153"
"09","0","2021-06-02","29","6","14","9","0","404","79"
"09","1","2021-06-02","13","3","6","4","0","188","48"
"09","2","2021-06-02","16","3","8","5","0","213","31"
"10","0","2021-06-02","53","9","26","18","0","1923","432"
"10","1","2021-06-02","31","5","13","13","0","993","262"
"10","2","2021-06-02","22","4","13","5","0","919","167"
"11","0","2021-06-02","76","8","32","35","1","1171","362"
"11","1","2021-06-02","36","6","18","12","0","597","206"
"11","2","2021-06-02","33","2","13","17","1","568","145"
"12","0","2021-06-02","54","4","12","38","0","1001","229"
"12","1","2021-06-02","25","1","6","18","0","511","130"
"12","2","2021-06-02","28","2","6","20","0","474","98"
"13","0","2021-06-02","751","144","238","360","9","20835","3571"
"13","1","2021-06-02","398","100","119","175","4","10705","2105"
"13","2","2021-06-02","345","44","118","179","4","10000","1442"
"14","0","2021-06-02","169","28","71","69","1","2521","590"
"14","1","2021-06-02","81","16","30","35","0","1219","329"
"14","2","2021-06-02","86","12","40","34","0","1288","257"
"15","0","2021-06-02","14","2","11","1","0","570","134"
"15","1","2021-06-02","7","2","5","0","0","277","76"
"15","2","2021-06-02","7","0","6","1","0","290","55"
"16","0","2021-06-02","27","4","10","13","0","635","159"
"16","1","2021-06-02","14","3","6","5","0","335","97"
"16","2","2021-06-02","13","1","4","8","0","292","62"
"17","0","2021-06-02","50","7","24","19","0","1146","323"
"17","1","2021-06-02","25","4","9","12","0","608","203"
"17","2","2021-06-02","25","3","15","7","0","535","120"
"18","0","2021-06-02","44","3","20","21","0","1536","507"
"18","1","2021-06-02","24","2","12","10","0","707","270"
"18","2","2021-06-02","20","1","8","11","0","825","236"
"19","0","2021-06-02","12","3","9","0","0","902","217"
"19","1","2021-06-02","7","3","4","0","0","439","124"
"19","2","2021-06-02","5","0","5","0","0","456","92"
"21","0","2021-06-02","140","24","61","55","0","3695","925"
"21","1","2021-06-02","70","15","29","26","0","1867","540"
"21","2","2021-06-02","70","9","32","29","0","1801","378"
"22","0","2021-06-02","38","4","17","13","4","1226","246"
"22","1","2021-06-02","16","2","6","6","2","581","140"
"22","2","2021-06-02","21","2","11","6","2","641","105"
"23","0","2021-06-02","26","8","9","9","0","576","97"
"23","1","2021-06-02","14","4","6","4","0","289","55"
"23","2","2021-06-02","12","4","3","5","0","285","41"
"24","0","2021-06-02","103","8","34","61","0","833","218"
"24","1","2021-06-02","52","5","17","30","0","400","123"
"24","2","2021-06-02","51","3","17","31","0","433","95"
"25","0","2021-06-02","64","21","27","16","0","2372","513"
"25","1","2021-06-02","27","11","10","6","0","1239","305"
"25","2","2021-06-02","37","10","17","10","0","1128","207"
"26","0","2021-06-02","95","17","49","29","0","2871","769"
"26","1","2021-06-02","55","12","29","14","0","1456","431"
"26","2","2021-06-02","39","5","19","15","0","1374","321"
"27","0","2021-06-02","144","12","30","102","0","1863","483"
"27","1","2021-06-02","58","7","16","35","0","921","272"
"27","2","2021-06-02","86","5","14","67","0","924","206"
"28","0","2021-06-02","85","18","32","35","0","2780","505"
"28","1","2021-06-02","47","12","17","18","0","1409","274"
"28","2","2021-06-02","38","6","15","17","0","1351","229"
"29","0","2021-06-02","75","10","34","29","2","1071","259"
"29","1","2021-06-02","45","8","20","15","2","549","167"
"29","2","2021-06-02","29","2","13","14","0","512","90"
"2A","0","2021-06-02","32","5","4","19","4","487","117"
"2A","1","2021-06-02","21","5","3","10","3","237","64"
"2A","2","2021-06-02","11","0","1","9","1","249","53"
"2B","0","2021-06-02","7","0","3","3","1","447","88"
"2B","1","2021-06-02","6","0","3","2","1","245","56"
"2B","2","2021-06-02","1","0","0","1","0","200","32"
"30","0","2021-06-02","132","23","37","70","2","2898","636"
"30","1","2021-06-02","64","15","18","30","1","1502","371"
"30","2","2021-06-02","68","8","19","40","1","1379","265"
"31","0","2021-06-02","168","34","66","65","3","5141","801"
"31","1","2021-06-02","95","24","39","32","0","2694","489"
"31","2","2021-06-02","71","10","27","31","3","2417","307"
"32","0","2021-06-02","5","1","3","1","0","452","98"
"32","1","2021-06-02","4","1","2","1","0","218","55"
"32","2","2021-06-02","1","0","1","0","0","233","43"
"33","0","2021-06-02","258","60","146","47","5","5229","1039"
"33","1","2021-06-02","136","41","68","24","3","2692","581"
"33","2","2021-06-02","120","19","76","23","2","2516","455"
"34","0","2021-06-02","166","44","75","46","1","4567","972"
"34","1","2021-06-02","86","31","35","20","0","2451","571"
"34","2","2021-06-02","80","13","40","26","1","2101","398"
"35","0","2021-06-02","239","24","120","89","6","3433","700"
"35","1","2021-06-02","113","14","61","36","2","1727","387"
"35","2","2021-06-02","126","10","59","53","4","1679","310"
"36","0","2021-06-02","46","6","20","20","0","1005","261"
"36","1","2021-06-02","24","4","11","9","0","503","138"
"36","2","2021-06-02","21","1","9","11","0","491","120"
"37","0","2021-06-02","117","20","34","62","1","2112","491"
"37","1","2021-06-02","68","16","23","28","1","1076","302"
"37","2","2021-06-02","49","4","11","34","0","1032","188"
"38","0","2021-06-02","289","35","110","138","6","7483","1751"
"38","1","2021-06-02","155","25","59","69","2","3644","1010"
"38","2","2021-06-02","134","10","51","69","4","3803","732"
"39","0","2021-06-02","37","3","25","7","2","1951","481"
"39","1","2021-06-02","18","3","10","4","1","887","249"
"39","2","2021-06-02","18","0","14","3","1","1048","229"
"40","0","2021-06-02","34","5","21","8","0","861","238"
"40","1","2021-06-02","22","3","17","2","0","438","124"
"40","2","2021-06-02","12","2","4","6","0","421","111"
"41","0","2021-06-02","63","6","16","41","0","1589","328"
"41","1","2021-06-02","36","4","11","21","0","804","198"
"41","2","2021-06-02","27","2","5","20","0","780","130"
"42","0","2021-06-02","321","49","191","81","0","5624","1339"
"42","1","2021-06-02","175","35","103","37","0","2800","779"
"42","2","2021-06-02","144","14","86","44","0","2783","550"
"43","0","2021-06-02","50","3","29","17","1","1261","253"
"43","1","2021-06-02","22","2","12","8","0","619","142"
"43","2","2021-06-02","28","1","17","9","1","622","109"
"44","0","2021-06-02","118","28","48","41","1","3843","831"
"44","1","2021-06-02","64","19","26","18","1","1923","466"
"44","2","2021-06-02","54","9","22","23","0","1919","365"
"45","0","2021-06-02","178","33","59","80","6","2999","639"
"45","1","2021-06-02","99","24","31","41","3","1519","386"
"45","2","2021-06-02","78","9","28","38","3","1466","250"
"46","0","2021-06-02","9","2","4","3","0","397","99"
"46","1","2021-06-02","7","2","3","2","0","193","60"
"46","2","2021-06-02","2","0","1","1","0","203","39"
"47","0","2021-06-02","28","5","17","6","0","831","181"
"47","1","2021-06-02","19","4","11","4","0","413","109"
"47","2","2021-06-02","9","1","6","2","0","397","68"
"48","0","2021-06-02","6","1","4","1","0","440","118"
"48","1","2021-06-02","1","0","1","0","0","237","70"
"48","2","2021-06-02","5","1","3","1","0","198","48"
"49","0","2021-06-02","104","26","48","30","0","3287","703"
"49","1","2021-06-02","69","22","31","16","0","1603","434"
"49","2","2021-06-02","35","4","17","14","0","1684","269"
"50","0","2021-06-02","121","18","51","52","0","1441","367"
"50","1","2021-06-02","68","14","24","30","0","724","204"
"50","2","2021-06-02","51","4","26","21","0","704","158"
"51","0","2021-06-02","170","25","88","57","0","3496","898"
"51","1","2021-06-02","83","16","43","24","0","1748","501"
"51","2","2021-06-02","80","8","40","32","0","1707","387"
"52","0","2021-06-02","40","4","20","16","0","1337","368"
"52","1","2021-06-02","19","2","13","4","0","639","187"
"52","2","2021-06-02","21","2","7","12","0","687","176"
"53","0","2021-06-02","42","5","24","13","0","1237","272"
"53","1","2021-06-02","23","4","13","6","0","601","151"
"53","2","2021-06-02","19","1","11","7","0","636","121"
"54","0","2021-06-02","189","45","97","45","2","4594","1203"
"54","1","2021-06-02","92","30","43","19","0","2273","690"
"54","2","2021-06-02","96","15","53","26","2","2292","506"
"55","0","2021-06-02","18","5","8","5","0","1385","380"
"55","1","2021-06-02","8","2","6","0","0","681","214"
"55","2","2021-06-02","10","3","2","5","0","701","166"
"56","0","2021-06-02","127","12","55","29","31","2003","421"
"56","1","2021-06-02","68","9","31","11","17","1014","243"
"56","2","2021-06-02","59","3","24","18","14","976","176"
"57","0","2021-06-02","188","36","89","56","7","7463","2392"
"57","1","2021-06-02","93","23","39","29","2","3753","1338"
"57","2","2021-06-02","94","13","49","27","5","3666","1035"
"58","0","2021-06-02","77","6","27","44","0","1042","325"
"58","1","2021-06-02","38","4","15","19","0","490","182"
"58","2","2021-06-02","39","2","12","25","0","536","140"
"59","0","2021-06-02","815","191","392","225","7","16612","3786"
"59","1","2021-06-02","373","113","172","84","4","8267","2075"
"59","2","2021-06-02","436","76","218","139","3","8196","1688"
"60","0","2021-06-02","360","36","149","174","1","4904","1358"
"60","1","2021-06-02","182","25","73","84","0","2436","753"
"60","2","2021-06-02","172","10","75","86","1","2434","593"
"61","0","2021-06-02","67","11","27","29","0","1655","352"
"61","1","2021-06-02","29","8","12","9","0","770","197"
"61","2","2021-06-02","38","3","15","20","0","867","151"
"62","0","2021-06-02","479","74","251","151","3","8013","1924"
"62","1","2021-06-02","232","50","123","57","2","3856","1013"
"62","2","2021-06-02","241","24","122","94","1","4066","891"
"63","0","2021-06-02","132","13","56","53","10","2687","740"
"63","1","2021-06-02","62","4","33","21","4","1263","405"
"63","2","2021-06-02","67","9","23","32","3","1400","331"
"64","0","2021-06-02","91","9","42","40","0","1973","475"
"64","1","2021-06-02","53","7","23","23","0","992","261"
"64","2","2021-06-02","36","2","17","17","0","971","212"
"65","0","2021-06-02","18","7","8","3","0","963","203"
"65","1","2021-06-02","7","3","3","1","0","471","102"
"65","2","2021-06-02","11","4","5","2","0","487","101"
"66","0","2021-06-02","92","16","31","43","2","1344","322"
"66","1","2021-06-02","49","14","16","19","0","707","206"
"66","2","2021-06-02","43","2","15","24","2","636","115"
"67","0","2021-06-02","297","40","183","73","1","7052","1696"
"67","1","2021-06-02","146","30","88","27","1","3634","953"
"67","2","2021-06-02","150","10","94","46","0","3404","736"
"68","0","2021-06-02","129","23","64","41","1","6098","1506"
"68","1","2021-06-02","66","17","33","15","1","3136","859"
"68","2","2021-06-02","63","6","31","26","0","2952","644"
"69","0","2021-06-02","420","108","147","160","5","15043","3130"
"69","1","2021-06-02","234","72","81","79","2","7414","1823"
"69","2","2021-06-02","184","36","65","80","3","7468","1280"
"70","0","2021-06-02","38","8","13","6","11","1266","265"
"70","1","2021-06-02","17","3","8","2","4","629","151"
"70","2","2021-06-02","21","5","5","4","7","635","113"
